release_level,modality,file_pattern,column_name,description,unit,time_base_or_notes,missing_value_convention
raw,sEMG,emg_*_2000Hz.csv,unix_ts,Unix epoch timestamp assigned to the sample.,seconds,Time base is stated by the field name; do not assume interchangeability across modalities.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG,emg_*_2000Hz.csv,EMG 1,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG,emg_*_2000Hz.csv,EMG 2,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG,emg_*_2000Hz.csv,EMG 3,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG,emg_*_2000Hz.csv,EMG 4,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG,emg_*_2000Hz.csv,EMG 5,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG,emg_*_2000Hz.csv,EMG 6,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG,emg_*_2000Hz.csv,EMG 7,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG,emg_*_2000Hz.csv,EMG 8,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG (P025),P025/emg_*_2000Hz.csv,unix_ts,Unix epoch timestamp assigned to the sample.,seconds,Time base is stated by the field name; do not assume interchangeability across modalities. P025 intentionally contains seven EMG channels.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG (P025),P025/emg_*_2000Hz.csv,EMG 1,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only. P025 intentionally contains seven EMG channels.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG (P025),P025/emg_*_2000Hz.csv,EMG 2,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only. P025 intentionally contains seven EMG channels.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG (P025),P025/emg_*_2000Hz.csv,EMG 3,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only. P025 intentionally contains seven EMG channels.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG (P025),P025/emg_*_2000Hz.csv,EMG 4,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only. P025 intentionally contains seven EMG channels.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
raw,sEMG (P025),P025/emg_*_2000Hz.csv,EMG 5,Surface-EMG sample from the numbered forearm sensor.,native stream units; see release metadata,P025 has EMG 1--7 only. P025 intentionally contains seven EMG channels.,Missing numeric values are represented as empty CSV cells/NaN; consult QC flags and manifests.
